,brand,family,reference,name,produced,limited,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands,movementType,movementBrand,movementCaliber,movementDisplay,movementDiameter,movementJewels,movementReserve,movementFrequency,movementTime,description,imageLink,imagePath
63,Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,Mixed,Proprietary ,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a matching link bracelet made up out of over 100 components.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj472ll-c4.jpg,images_latest/mj472ll-c4.jpg
64,Ball Watch,Engineer Hydrocarbon,,Engineer Hydrocarbon NEDU Black / Bracelet,2013,No,Titanium,Sapphire,Closed,Round,42.00 mm,17.30 mm,,Black,,Stick / Dot,Sword,Automatic,Ball Watch,RR1402C,Analog,30.00 mm,25.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Ball Engineer Hydrocarbon NEDU was introduced in 2013. It was named after the Navy Experimental Diving Unit branch of the American Navy. The case measures 42mm across and is made of titanium with a ceramic bezel insert. It houses the self-winding caliber 7750 which is chronometer certified. The crown is fitted with a signature protector and an integrated helium escape valve.

Reference DC3026A-SCJ-BK has a black dial and a titanium bracelet.",https://watchbase.r.sizr.io/watch/lg/ball-watch/engineer-hydrocarbon/dc3026a-scj-bk-52.jpg,images_latest/dc3026a-scj-bk-52.jpg
65,Audemars Piguet,Millenary,,Millenary Openworked,2016 - 2019,No,Pink gold,Sapphire,Open,Oval,47.00 mm,13.00 mm,,Skeleton,,Roman Numerals,Alpha,Automatic,Audemars Piguet,AP 4105,Analog,26.60 mm,34.0,60 h,28800 bph,"Hours, Minutes, Small Seconds",The Audemars Piguet Millenary Openworked was introduced in 2016. It features the signature oval Millienary case paired with a open-worked variation of the 2011 caliber 4101.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15352or-oo-d093cr-01-39.png,images_latest/15352or-oo-d093cr-01-39.png
66,Bell & Ross,Instruments,,BR 03 92 Desert Type Ceramic,2016,No,Ceramic,Sapphire,Closed,Square,42.00 mm,,,Beige,,Mixed,Sword,Automatic,Bell & Ross,BR-CAL.302,Analog,25.60 mm,25.0,38 h,28800 bph,"Hours, Minutes, Seconds","The 2015 Bell & Ross BR 03-92 Desert Type Ceramic features a black ceramic case. The beige dial has cut-out numerals and indexes. Unlike the earlier Desert Type, it is not a limited edition.",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0392-desert-ce-78.png,images_latest/br0392-desert-ce-78.png
67,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Green / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Green,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a green dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a4-1-h-bc.jpg,images_latest/ua8239b-a4-1-h-bc.jpg
68,Breitling,Transocean,,Transocean Stainless Steel / Silver / Calf / Pin,2011 - 2012,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B10,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","Transocean

The Transocean reinterprets the pure design of the classic 1950s and 60s in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.


REF. A1036012.G721.433X",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1036012g721433x-3d.jpg,images_latest/a1036012g721433x-3d.jpg
69,Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a matching link bracelet made up out of over 100 components.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj3e2ll-a5.jpg,images_latest/mj3e2ll-a5.jpg
70,Jaeger-LeCoultre,Reverso,,Reverso Tribute Duoface Rose Gold / White,,No,Rose Gold,Sapphire,Double Dial,,25.50 mm,9.20 mm,,White,,Stick / Dot,Dauphine,Handwound,Jaeger-LeCoultre,854A/2,Analog,20.20 mm,19.0,42 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication","The pink gold Reverso Tribute Duo watch is sophisticated and elegant, harboring a secret second dial that displays a second time zone. This is an ideal model for lovers of travel and beautiful objects.

Reference 3902420 has a white dial and is fitted a black leather strap.",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3902420-9a.png,images_latest/3902420-9a.png
71,Bell & Ross,Instruments,,BR 01 Instrument de Marine,2016,"Yes, 500 units",,Sapphire,Open,Square,46.00 mm,,24.00 mm,White,,Roman Numerals,Poire,Handwound,Bell & Ross,BR-CAL.203,Analog,36.60 mm,17.0,56 h,21600 bph,"Hours, Minutes, Small Seconds","The Bell & Ross BR 01 Instrument de Marine is a limited edition of 500 pieces introduced in 2016. It features a titanium case with both wooden and bronze details. Bronze is used for the top, lugs, and crown, while the case band is made of rosewood. It is powered by a Bell & Ross-branded version of the hand-wound Unitas 6498.
Reference: BR01-CM-203",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br01-cm-203-34.png,images_latest/br01-cm-203-34.png
72,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Cream / Canvas,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Cream,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a cream dial and is fitted a canvas strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239ca-a5-1-h-fa.jpg,images_latest/ua8239ca-a5-1-h-fa.jpg
73,Jaeger-LeCoultre,Reverso,,Grande Reverso Lady Ultra Thin White Gold Mother of Pearl,,No,White gold,Sapphire,Closed,Rectangular,24.00 mm,7.20 mm,,White,Mother of Pearl,Mixed,Sword,Handwound,Jaeger-LeCoultre,846/1,Analog,,18.0,38 h,21600 bph,"Hours, Minutes","The Reverso is one of the rare true icons of luxury watchmaking. It is the legendary reversible watch invented in the 1930s for polo players who wanted to be able to protect the crystal of their watches, which featured pure, geometric silhouettes inspired by the Art Deco movement. This is its ultra-thin, curved version designed exclusively for ladies.

Dimensions (L x W) : 40x24mm
Thickness : 7.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3213402-4.jpg,images_latest/3213402-4.jpg
74,Bell & Ross,Instruments,,BR 01 92 Turn Coordinator,,"Yes, 999 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Black,,Mixed,Proprietary ,Automatic,ETA,2892-A2,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","The BR 01 TURN COORDINATOR watch is inspired by aircraft cockpits, where each part is a reference in terms of legibility, reliability and performance. The display of the BR 01 TURN COORDINATOR recalls the graphics of the reference instrument, the Turn Coordinator.

The present example features a stainless steel case with PVD coating. The hours, minutes and seconds are all displayed using discs. The date is omitted.
Reference BR0192-TURNCOOR",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-turncoor-67.png,images_latest/br0192-turncoor-67.png
75,Jaeger-LeCoultre,Reverso,,Grande Reverso Lady Ultra Thin Quartz,,No,Stainless Steel,Sapphire,Closed,Rectangular,24.00 mm,7.20 mm,,Silver,,Arabic Numerals,Sword,Quartz,Jaeger-LeCoultre,657,Analog,,4.0,,,"Hours, Minutes","The Reverso is one of the rare true icons of luxury watchmaking. It is the legendary reversible watch invented in the 1930s for polo players who wanted to be able to protect the crystal of their watches, which featured pure, geometric silhouettes inspired by the Art Deco movement. This is its ultra-thin, curved version designed exclusively for ladies.

Dimensions (L x W) : 40x24mm
Thickness : 7.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3208420-31.jpg,images_latest/3208420-31.jpg
76,Jaeger-LeCoultre,Reverso,,Reverso Lady Bracelet,,No,Stainless Steel,Sapphire,Closed,Rectangular,19.50 mm,7.20 mm,,Silver,,Arabic Numerals,Sword,Handwound,Jaeger-LeCoultre,846/1,Analog,,18.0,38 h,21600 bph,"Hours, Minutes","Endowed with a refined classicism, the Reverso in its Lady size offers an exquisitely close fit on the feminine wrist.

Dimensions (L x W) : 33.2x19.5mm
Thickness : 7.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2608110-f6.png,images_latest/2608110-f6.png
77,Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a supple French-made leather strap in bluewith so-called 'modern' buckle.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj332ll-c2.jpg,images_latest/mj332ll-c2.jpg
78,Archimede,Pilot,,Pilot 45 Automatic Stainless Steel / Black,,No,Stainless steel,Sapphire,Open,Round,45.00 mm,10.00 mm,,Black,,Arabic Numerals,Sword,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot 45 is powered byan automatic movement by Sellita. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel and measures 45mm across. The Pilot 45 KS is available with display back or - as an option - with a solid case back.

The catchy Pilot crown is designed for optimal usability, both when winding and while setting the time. The classic pilot's-style dial with luminous hands allows a clear time reading. 

Reference UA7949-A1.1-L is fitted with a black leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7949-a1-1-l-3e.jpg,images_latest/ua7949-a1-1-l-3e.jpg
79,Bell & Ross,Instruments,,BR 01 96 Grande Date,,No,Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Arabic Numerals,Sword,Automatic,ETA,2896,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case, black dial with oversized Arabic numerals and a rubber strap. This watch is fitted with a big date display at 3:00
Reference BR0196-BL-ST",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0196blst-6f.jpg,images_latest/br0196blst-6f.jpg
80,Jaeger-LeCoultre,Reverso,,Grande Reverso Ultra Thin Boutique Edition Rouge,2012,No,Stainless Steel,Sapphire,Closed,Rectangular,27.40 mm,7.30 mm,,Red,,Stick / Dot,Sword,Handwound,Jaeger-LeCoultre,822,Analog,20.20 mm,21.0,38 h,21600 bph,"Hours, Minutes","The Reverso is one of the rare true icons of luxury watchmaking. It is the legendary reversible watch invented in the 1930s for polo players who wanted to be able to protect the crystals of their watches, which featured pure, geometric silhouettes inspired by the Art Deco movement.

Dimensions (L x W) : 46.8x27.4mm
Thickness : 7.3mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/278856j-bb.jpg,images_latest/278856j-bb.jpg
81,Jaeger-LeCoultre,Reverso,,Reverso Lady Quartz Bracelet,,No,Stainless Steel,Sapphire,Closed,Rectangular,19.50 mm,7.20 mm,,Silver,,Arabic Numerals,Sword,Quartz,Jaeger-LeCoultre,657,Analog,,4.0,,,"Hours, Minutes","Endowed with a refined classicism, the Reverso in its Lady size offers an exquisitely close fit on the feminine wrist.

Dimensions (L x W) : 33.2x19.5mm
Thickness : 7.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2618110-78.png,images_latest/2618110-78.png
82,Jaeger-LeCoultre,Reverso,,Reverso One Duetto Moon,2016,No,Stainless Steel,Sapphire,Double Dial,Rectangular,20.00 mm,10.00 mm,,Silver,,Stick / Dot,Dauphine,Handwound,Jaeger-LeCoultre,842,Analog,20.20 mm,19.0,38 h,21600 bph,"Hours, Minutes","It is equipped with the Duetto concept: operated by a single mechanical movement, two back-to-back dials give the watch two different personalities. Its back face features a moon phase display with the moon in mother-of-pearl.

Launched at SIHH 2016.
Case size 40.1x20mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3358420-56.png,images_latest/3358420-56.png
83,Audemars Piguet,Jules Audemars,,Jules Audemars 26380 Dual Time Pink Gold / Black,,No,Pink gold,Sapphire,Open,Round,41.00 mm,9.25 mm,,Black,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2329 / 2846,Analog,26.50 mm,33.0,38 h,28800 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication",The Jules Audemars 26380OR.OO.D002CR.01 has a pink gold case and a black dial. It is powered by the self-winding caliber 2329 with module 2846.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26380or-oo-d002cr-01-c7.png,images_latest/26380or-oo-d002cr-01-c7.png
84,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Lume / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,White,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a full lume dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a1-1-h-6.jpg,images_latest/ua8239b-a1-1-h-6.jpg
85,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Green / Canvas,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Green,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a green dial and is fitted a canvas strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239ca-a4-1-h-62.jpg,images_latest/ua8239ca-a4-1-h-62.jpg
86,Jaeger-LeCoultre,Reverso,,Grande Reverso Duo Pink Gold,,No,Pink gold,Sapphire,Double Dial,Rectangular,29.90 mm,10.70 mm,,Silver,,Arabic Numerals,Sword,Automatic,Jaeger-LeCoultre,986,Analog,,19.0,48 h,28800 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Additional 24 Hour Hand (fixed), Small Seconds","The Reverso: one of fine watchmaking's rare true icons. Legendary reversible watch invented in the 1930s for polo players who wanted to protect their watch crystals. Pure geometric forms inspired by Art Deco. New large size suited to the male wrist, with the famous duoface function: two dials for two different times. The front displays the time in the reference time zone and has a small seconds hand and large date window. The back has a second time zone with day/night indicator. Sophisticated dial with two finishes, vertical guilloché work and Clous de Paris. Manually-wound mechanical proprietary movement.

Dimensions (L x W) : 48.4x29.9mm
Thickness : 10.7mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3742521-27.png,images_latest/3742521-27.png
87,Bell & Ross,Instruments,,BR-01 Burning Skull,2016,"Yes, 500 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Stick / Dot,Sword,Automatic,Bell & Ross,BR-CAL.302,Analog,25.60 mm,25.0,38 h,28800 bph,"Hours, Minutes, Seconds",The Bell & Ross BR-01 is a limited edition of 500 pieces introduced at BaselWorld 2016. It Bell & Ross' iconic 'Skull' case design paired with a tattoo-style engraving.,https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-skull-burn-7c.jpg,images_latest/br0192-skull-burn-7c.jpg
88,Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a black leather strap with traditional pin buckle.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj3x2ll-69.jpg,images_latest/mj3x2ll-69.jpg
89,Jaeger-LeCoultre,Reverso,,Reverso Classic Large Duoface Pink Gold,2016,No,Pink gold,Sapphire,Double Dial,Rectangular,28.30 mm,9.00 mm,,Silver,,Arabic Numerals,Sword,Automatic,Jaeger-LeCoultre,969,Analog,,30.0,38 h,28800 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Additional 24 Hour Hand (fixed)","It features the Duoface concept, with a single movement for two different time zone indications back-to-back on two dials. It features a 24-hour day/night indicator on the front face.

Launched at SIH 2016.
Case size 47x28.3mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3832420-7a.png,images_latest/3832420-7a.png
90,Audemars Piguet,Jules Audemars,,Jules Audemars 15182 Extra-Thin Pink Gold / Silver,,No,Pink gold,Sapphire,Open,Round,41.00 mm,6.70 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2120,Analog,28.40 mm,36.0,40 h,19800 bph,"Hours, Minutes",The Jules Audemars 15182OR.ZZ.A102CR.01 has a pink gold case and a silver dial with applied hour markers and a guilloche sunray pattern. The bezel is set with 95 brilliant-cut diamonds. This watch is powered by the self-winding caliber 2120 and strapped to the wrist by means of a gloss 'large square scale' alligator strap.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/15182or-zz-a102cr-01-33.png,images_latest/15182or-zz-a102cr-01-33.png
91,Jaeger-LeCoultre,Reverso,,Reverso One Stainless Steel / Diamond / White / Bracelet,2017,No,Stainless Steel,Sapphire,Closed,Rectangular,20.00 mm,7.90 mm,,White,,Stick / Dot,Dauphine,Quartz,Jaeger-LeCoultre,657,Analog,,4.0,,,"Hours, Minutes","The Jaeger-LeCoultre Reverso One 3288120 was introduced at SIHH 2017. It features a stainless steel case (40.1*20mm) set with two rows of diamonds, and a white dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3288120-b8.png,images_latest/3288120-b8.png
92,Bell & Ross,Instruments,,BR 01 92 Carbon,,No,Stainless steel,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Black,,Mixed,Sword,Automatic,ETA,2892-A2,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case with PVD finish, black dial with oversized four Arabic numerals and a rubber strap.
Reference BR0192-BL-CA",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-bl-ca-2f.png,images_latest/br0192-bl-ca-2f.png
93,Bell & Ross,Instruments,,BR 03 92 Commando Ceramic,,No,Ceramic,Sapphire,Closed,Square,42.00 mm,,,Grey,,Mixed,Sword,Automatic,Sellita,SW300-1,Analog,25.60 mm,25.0,38 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 03 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 03 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.

The present example features a  matte black ceramic case, and a 'Commando' dial. It's black case and grey dial make it the ideal camouflage watch.
Reference BR0392-COMMANDO-CE",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0392-commando-ce-e9.png,images_latest/br0392-commando-ce-e9.png
94,Jaeger-LeCoultre,Reverso,,Grande Reverso Lady Ultra Thin,,No,Stainless Steel,Sapphire,Closed,Rectangular,24.00 mm,7.20 mm,,Silver,,Arabic Numerals,Sword,Handwound,Jaeger-LeCoultre,846/1,Analog,,18.0,38 h,21600 bph,"Hours, Minutes","The Reverso is one of the rare true icons of luxury watchmaking. It is the legendary reversible watch invented in the 1930s for polo players who wanted to be able to protect the crystal of their watches, which featured pure, geometric silhouettes inspired by the Art Deco movement. This is its ultra-thin, curved version designed exclusively for ladies.

Dimensions (L x W) : 40x24mm
Thickness : 7.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3208421-d0.jpg,images_latest/3208421-d0.jpg
95,Jaeger-LeCoultre,Reverso,,Reverso Tribute Gyrotourbillon,2016,"Yes, 75 units",Platinum,Sapphire,Double Dial,Rectangular,31.00 mm,12.40 mm,,Skeleton,,Stick / Dot,Dauphine,Handwound,Jaeger-LeCoultre,179,Analog,,52.0,40 h,28800 bph,"Additional 24 Hour Hand (fixed), Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication, Small Seconds","The Reverso Tribute Gyrotourbillon was introduced at SIHH 2016. It features the vintage-inspired 'Tribute' look with stick markers & dauphine hands, and JLC's signature Gyrotourbillon in the form of the double-timezone caliber 179. The platinum case measures 51.1x31mm across, making it significantly smaller than previous iterations of the Reverso Gyrotourbillon.

A veritable masterpiece showcasing the watchmaking skills and rare crafts (Métiers Rares®) cultivated by Jaeger-LeCoultre, the Reverso Tribute Gyrotourbillon is a stellar creation within the new 2016 collection. Its elegant and sophisticated case houses a movement equipped with an unusual Gyrotourbillon®. Vividly embodying the signature horological sophistication of Jaeger-LeCoultre on both faces, it springs a number of surprises including an entirely openworked back dial. This platinum model is issued in a 75-piece limited series.",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3946420-47.jpg,images_latest/3946420-47.jpg
96,Jaeger-LeCoultre,Reverso,,Reverso Classic Medium Duetto Stainless Steel / Silver,,No,Stainless Steel,Sapphire,Double Dial,Rectangular,24.40 mm,9.60 mm,,Silver,,Arabic Numerals,Baton,Automatic,Jaeger-LeCoultre,968A,Analog,,28.0,38 h,28800 bph,"Hours, Minutes","The new Reverso Duetto medium-sized model showcases all the classic design codes of the Reverso watch. The Reverso's emblematic appearance is thus rounded out by a more feminine facet on the back, with the whole watch presented with slightly enhanced proportions to ensure even greater comfort for the wearer.

Dimensions (L x W) : 40.1x24.4mm
Thickness : 9.6mm
Back fitted with ~0.42 carats of diamonds and a black guilloché and sunray-brushed dial with frosted numerals.",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2578420-42.png,images_latest/2578420-42.png
97,Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Blue / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Blue,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26.0,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a blue dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a3-1-h-3f.jpg,images_latest/ua8239b-a3-1-h-3f.jpg
98,Audemars Piguet,Jules Audemars,,Jules Audemars 26346 Tourbillon Chronograph Openworked Pink Gold,2016,No,Pink gold,Sapphire,Open,Round,41.00 mm,13.30 mm,,Skeleton,,Stick / Dot,Poire,Handwound,Audemars Piguet,AP 2936,Analog,35.00 mm,28.0,72 h,21600 bph,"Hours, Minutes, Small Seconds",The Jules Audemars Tourbillon Chronograph Openworked reference 26346OR.OO.D088CR.01 was introduced in 2016. It features a pink gold case and a brown dial - or what's left of it.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26346or-oo-d088cr-01-58.png,images_latest/26346or-oo-d088cr-01-58.png
99,Jaeger-LeCoultre,Reverso,,Grande Reverso Calendar Pink Gold,,No,Pink gold,Sapphire,Closed,Rectangular,29.90 mm,10.20 mm,,Silver,,Arabic Numerals,Sword,Handwound,Jaeger-LeCoultre,843,Analog,20.20 mm,21.0,45 h,21600 bph,"Hours, Minutes","In addition to displaying the hour and minute functions, the Grande Reverso Calendar indicates the day, month, date and moon phase. Its sapphire crystal enables one to admire the finely craftsmanship of its mechanical manually-wound movement. This timepiece reflects a perfect blend of expertise, refinement and elegance.

Dimensions (L x W) : 48.4x29.9mm
Thickness : 10.2mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3752520-95.jpg,images_latest/3752520-95.jpg
100,Audemars Piguet,Millenary,,Millenary Minute Repeater Pink Gold,2011,No,Pink gold,Sapphire,Open,Oval,47.00 mm,15.50 mm,,White,Enamel,Roman Numerals,Alpha,Handwound,Audemars Piguet,AP 2910,Analog,37.90 mm,38.0,168 h,21600 bph,"Hours, Minutes, Small Seconds",The Millenary Minute Repeater with AP escapement was introduced in 2011. It features the signature Millenary oval-shaped case paired with a hand-wound movement with AP escapement and minute repeater. Reference 26371OR.OO.D803CR.01 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/26371or-oo-d803cr-01-eb.png,images_latest/26371or-oo-d803cr-01-eb.png
