basic_info_brand,basic_info_family,basic_info_reference,basic_info_name,basic_info_produced,basic_info_limited,case_material,case_glass,case_back,case_shape,case_diameter,case_height,case_lug width,dial_color,dial_material,dial_indexes,dial_hands,movement_type,movement_brand,movement_caliber,movement_display,movement_diameter,movement_jewels,movement_reserve,movement_frequency,movement_time,description,image_link
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Calf / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-112x-a20d-1-3e.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Calf / Folding,2012,No,,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-438x-a20d-1-a.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Military / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-106w-a20ba-1-e1.png
Audemars Piguet,Millenary,,Millenary Minute Repeater Pink Gold,2011,No,Pink gold,Sapphire,Open,Oval,47.00 mm,15.50 mm,,White,Enamel,Roman Numerals,Alpha,Handwound,Audemars Piguet,AP 2910,Analog,37.90 mm,38,168 h,21600 bph,"Hours, Minutes, Small Seconds",The Millenary Minute Repeater with AP escapement was introduced in 2011. It features the signature Millenary oval-shaped case paired with a hand-wound movement with AP escapement and minute repeater. Reference 26371OR.OO.D803CR.01 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/26371or-oo-d803cr-01-eb.png
Audemars Piguet,Millenary,,Millenary Hand-wound White Gold / Diamond,2017,No,White gold,Sapphire,Open,Oval,39.50 mm,9.80 mm,20.00 mm,Paved,,Arabic Numerals,Alpha,Handwound,Audemars Piguet,AP 5201,Analog,32.74 mm,19,54 h,21600 bph,"Hours, Minutes, Small Seconds","Hand-wound watch with small seconds. It has a 18-carat white gold case, a diamond-set bezel and lugs and the crown is set with a pink cabochon sapphire. diamond-set dial, blued hands. 438 brilliant-cut diamonds ; ~1.93 carats (case, buckle). 136 brilliant-cut diamonds ; ~0.26 carats (dial). 

Reference 77248BC.ZZ.A111CR.01 has a diamond-set dial and is fitted a grey alligator strap",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/77248bc-zz-a111cr-01-de.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Croco / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212/BF26 has a black dial with contrasting sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-bf26-744p-a20d-1-25.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Rubber / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-bf26-280s-a20s-1-c7.png
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Black / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Black,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a black dial and is fitted a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239b-a2-1-h-c8.jpg
Bell & Ross,Instruments,,BR 03-92 Diver,2017,No,Stainless steel,Sapphire,Closed,Square,42.00 mm,,,Black,,Mixed,Sword,Automatic,Bell & Ross,BR-CAL.302,Analog,25.60 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Bell & Ross BR 03-2 was introduced at BaselWorld 2017. It is the first model in Bell & Ross' third generation of dive watches, and the first to feature the brand's iconic square case. The Bell & Ross BR 03-92 Diver is water resistant up to 300 meters, thanks to its reinforced case back ((2.80 mm on the BR 03 Diver, compared to 1.80 mm on the regular BR 03) and extra-thick sapphire glass (2.85mm vs 1.50mm on the regular BR 03).",https://watchbase.r.sizr.io/watch/lg/bell-ross/marine/br0392-d-bl-st-srb-e.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel Red Gold / Black / Rubber Aero Classic ,,No,,Sapphire,Open,Round,43.00 mm,14.40 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub015212-bc74-278s-da.jpg
Archimede,Pilot,,Pilot 45 Automatic Stainless Steel / Black,,No,Stainless steel,Sapphire,Open,Round,45.00 mm,10.00 mm,,Black,,Arabic Numerals,Sword,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot 45 is powered byan automatic movement by Sellita. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel and measures 45mm across. The Pilot 45 KS is available with display back or - as an option - with a solid case back.

The catchy Pilot crown is designed for optimal usability, both when winding and while setting the time. The classic pilot's-style dial with luminous hands allows a clear time reading. 

Reference UA7949-A1.1 is fitted with a black leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7949-a1-1-52.jpg
Audemars Piguet,Jules Audemars,,Jules Audemars 26153 Chronometer Platinum / White,,No,Pink gold,Sapphire,Open,Round,46.00 mm,12.70 mm,,White,Enamel,Roman Numerals,Feuille,Handwound,Audemars Piguet,AP 2908,Analog,40.00 mm,33,90 h,43200 bph,"Hours, Minutes, Small Seconds","The Jules Audemars 26153PT.OO.D028CR.01 Chronometer has a platinum case . The dial at 12 is white enamel; the small seconds dial is white lacquered. This watch is pwoered by the hand-wound caliber 2908, which runs a proprietary escapement at a fast-paced 6Hz.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26153pt-oo-d028cr-01-6b.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Panda / Calf / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.G724 has a stainless steel case and a 'Mercury' silver dial with anthracite sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-g724-433x-f.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Rubber / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-280s-a20s-1-65.png
Breitling,Transocean,,Transocean Chronograph Unitime Pilot Stainless Steel / Red Gold / Black / Milanese,2013,No,,Sapphire,Closed,Round,46.00 mm,15.40 mm,24.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B05,Analog,,56,70 h,28800 bph,"Hours, Minutes, Small Seconds, World Time","The Breitling Transocean Chronograph Unitime pairs a chronograph with a world time function, courtesy of its in-house caliber B05. Thanks to its double disk, the Transocean Chronograph Unitime provides at-a-glance reading, anywhere in the world, of the time in all 24 timezones. When the user changes timezone, simply turning the crown forwards or backwards enables instant correction of the hour hand, the city disk and the 24-hour disk – while automatically adjusting the date to local time.

The Transocean Chronograph Unitime Pilot was added to the collection in 2013. It features a more instrumental and less ornamental dial, lacking the globe found on the original models.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub0510u4-bc26-152a-90.jpg
Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Platinum / White,,No,Platinum,Sapphire,Open,Round,42.00 mm,14.00 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866PT.OO.D002CR.01 has a platinum case and a white dial with stick markers. The hands are made of blackened gold.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866pt-oo-d002cr-01-98.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Military / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-106w-r20ba-1-7e.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Panda / Croco / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.G724 has a stainless steel case and a Mercury silver dial with anthracite sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-g724-731p-a20ba-1-c.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Calf / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-105x-r20ba-1-7.png
Audemars Piguet,Millenary,,Millenary Quincy Jones,2010,"Yes, 500 units",Stainless steel,Sapphire,Open,Oval,47.00 mm,10.20 mm,,Black,,Roman Numerals,Alpha,Automatic,Audemars Piguet,AP 3120,Analog,26.60 mm,40,60 h,21600 bph,"Hours, Minutes, Seconds",The Audemars Piguet Millenary 15161SN.OO.D002CR.01 is a limited edition of 500 pieces created in collaboration with musician Quincy Jones. ,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15161sn-oo-d002cr-01-1e.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Panda / Croco / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.G724 has a stainless steel case and a Mercury silver dial with anthracite sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-g724-738p-a20d-1-c4.png
Bell & Ross,Instruments,,BR 01 92 Casino,,No,Stainless steel,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Multi-Color,,Mixed,Proprietary ,Automatic,ETA,2892-A2,Analog,25.60 mm,21,42 h,28800 bph,"Hours, Minutes, Seconds","The BR 01 CASINO watch is inspired by aircraft cockpits, where each part is a reference in terms of legibility, reliability and performance. The display of the BR 01 Casino resembles a roulette wheel with time being displayed via three seperate discs.
The present example features a stainless steel case with PVD finish and a multi-color dial resembling a roulettewheel 
Reference BR0192-CASINO-BTQ",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192casinobtq-d9.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Rubber / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-281s-a20d-2-16.png
Audemars Piguet,Millenary,,Millenary Self-winding White Gold / White,,No,White gold,Sapphire,Open,Oval,45.00 mm,8.90 mm,,White,,Roman Numerals,Feuille,Automatic,Audemars Piguet,AP 3120,Analog,26.60 mm,40,60 h,21600 bph,"Hours, Minutes, Seconds",The Audemars Piguet Millenary 15320BC.OO.D028CR.01 has a white gold case and a white - silver dial. Inside is the brand's own caliber 3120.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15320bc-oo-d028cr-01-0.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel Red Gold / Brown / Croco,,No,,Sapphire,Open,Round,43.00 mm,14.40 mm,22.00 mm,Brown,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub015212-q594-739p-18.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Croco / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-744p-a20d-1-d2.png
Breitling,Transocean,,Transocean Chronograph 1461 Stainless Steel / Silver / Croco / Pin,,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,15.25 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B19,Analog,,38,42 h,28800 bph,"Hours, Minutes, Small Seconds","In the Transocean Chronograph 1461, the chronograph is combined with a complete calendar requiring adjustment only once every leap year, meaning every 1,461 days. The case measures 43mm across.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1931012-g750-739p-91.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Military / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-106w-a20ba-1-9e.png
Breitling,Transocean,,Transocean Chronograph Unitime Red Gold / Black / Croco,2012,No,Red Gold,Sapphire,Closed,Round,46.00 mm,15.40 mm,24.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B05,Analog,,56,70 h,28800 bph,"Hours, Minutes, Small Seconds, World Time","The Breitling Transocean Chronograph Unitime pairs a chronograph with a world time function, courtesy of its in-house caliber B05. Thanks to its double disk, the Transocean Chronograph Unitime provides at-a-glance reading, anywhere in the world, of the time in all 24 timezones. When the user changes timezone, simply turning the crown forwards or backwards enables instant correction of the hour hand, the city disk and the 24-hour disk – while automatically adjusting the date to local time. ",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb0510u4-bb63-760p-fc.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Calf / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-105x-r20ba-1-61.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Croco / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r45310121b1p1-ed.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Calf / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-105x-a20ba-1-0.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Milanese,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a45310121b1a1-55.png
Breitling,Transocean,,Transocean Chronograph Unitime Pilot Stainless Steel / Black / Milanese,2013,No,Stainless steel,Sapphire,Closed,Round,46.00 mm,15.40 mm,24.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B05,Analog,,56,70 h,28800 bph,"Hours, Minutes, Small Seconds, World Time","The Breitling Transocean Chronograph Unitime pairs a chronograph with a world time function, courtesy of its in-house caliber B05. Thanks to its double disk, the Transocean Chronograph Unitime provides at-a-glance reading, anywhere in the world, of the time in all 24 timezones. When the user changes timezone, simply turning the crown forwards or backwards enables instant correction of the hour hand, the city disk and the 24-hour disk – while automatically adjusting the date to local time.

The Transocean Chronograph Unitime Pilot was added to the collection in 2013. It features a more instrumental and less ornamental dial, lacking the globe found on the original models.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab0510u60-bc26-159a-ea.jpg
Bell & Ross,Instruments,,BR 01 92 Ceramic,,No,Ceramic,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Black,,Mixed,Sword,Automatic,Sellita,SW300-1,Analog,25.60 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a black ceramic case, a black dial with oversized Arabic numerals and a rubber strap.
Reference BR0192-BL-CER/SRB",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192blcersrb-bb.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Calf / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-433x-df.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Military / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-106w-r20ba-1-2f.png
Breitling,Transocean,,Transocean Chronograph Red Gold / Diamond / Black / Air Racer,2011,No,Red Gold,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb015253-bb16-220r-fe.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Rubber / Folding,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-281s-a20d-2-17.png
Audemars Piguet,Millenary,,Millenary Self-winding Pink Gold / White,,No,Pink gold,Sapphire,Open,Oval,45.00 mm,8.90 mm,,White,,Roman Numerals,Feuille,Automatic,Audemars Piguet,AP 3120,Analog,26.60 mm,40,60 h,21600 bph,"Hours, Minutes, Seconds",The Audemars Piguet Millenary 15320OR.OO.D093CR.01 has a pink gold case and a white - silver dial. Inside is the brand's own caliber 3120.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15320or-oo-d093cr-01-32.png
Breitling,Transocean,,Transocean Chronograph Red Gold / Black / Rubber Aero Classic,2011,No,Red Gold,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb015212-bb16-279s-ae.jpg
Audemars Piguet,Jules Audemars,,Jules Audemars 26346 Tourbillon Chronograph Openworked White Gold Boutique,,No,White gold,Sapphire,Open,Round,41.00 mm,13.30 mm,,Skeleton,,Stick / Dot,Poire,Handwound,Audemars Piguet,AP 2936,Analog,35.00 mm,28,72 h,21600 bph,"Hours, Minutes, Small Seconds","The Jules Audemars 26346BC.OO.D002CR.01 has a white gold case and a black 'dial' - meaning the outer seconds track, small seconds scale and minute counter. It is powered by the hand-wound caliber 2936, which features a chronograph and a tourbillon escapement.

The 'Boutique Exclusive' 26346BC.OO.D002CR.02 is similar but has its movement finished in anthracite.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26346bc-oo-d002cr-01-d6.png
