Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
AIR FORCE HS,Military academy,HS,"60,609",,BELOW EXPECTATIONS,,,,,ORGANIZED,97.5,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,VERY WEAK,12.9,37.6,3.1 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,89.3,94.8,"2,017","2,018",53.6,ESTABLISHED,41.828145,-87.632757
NASH,Neighborhood,ES,"60,644",2018,AVERAGE,39,39th,44,44th,WELL ORGANIZED,88.5,84.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",10,10th,25,25th,27,27th,64,64th,25,25th,27,27th,87,87th,1,1st,6,6th,15,15th,50,50th,85,85th,75,75th,97,97th,STRONG,VERY STRONG,VERY STRONG,NEUTRAL,STRONG,STRONG,3.8,26.7,2.4 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.2,94.6,"2,017","2,018",45.2,NOT RATED,41.89181,-87.747936
JAMIESON,Neighborhood,ES,"60,659",2018,FAR ABOVE AVERAGE,88,88th,90,90th,WELL ORGANIZED,94.8,84.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",85,85th,84,84th,85,85th,97,97th,81,81st,85,85th,92,92nd,86,86th,94,94th,96,96th,99,99th,69,69th,85,85th,91,91st,VERY STRONG,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,0.2,3,2.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.5,96.1,"2,017","2,018",13.8,ESTABLISHED,41.984641,-87.700529
PULLMAN,Neighborhood,ES,"60,628",2018,AVERAGE,67,67th,47,47th,ORGANIZED,78,79.4,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",70,70th,95,95th,44,44th,25,25th,68,68th,49,49th,81,81st,69,69th,51,51st,43,43rd,11,11th,51,51st,48,48th,65,65th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,6.5,17.4,3.1 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,96.3,"2,017","2,018",40.8,EMERGING,41.688819,-87.609431
GAGE PARK HS,Neighborhood,HS,"60,629",,FAR BELOW EXPECTATIONS,,,,,ORGANIZED,77,88.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,VERY WEAK,9.5,8.6,2.2 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.5,95.9,"2,017","2,018",60.7,ESTABLISHED,41.791013,-87.688954
NEW FIELD,Neighborhood,ES,"60,626",2018,AVERAGE,50,50th,52,52nd,WELL ORGANIZED,0,93,> 75%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",54,54th,53,53rd,44,44th,,,,,,,,,46,46th,57,57th,53,53rd,,,,,,,,,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,0.4,2,1.3 days,NEUTRAL,VERY STRONG,VERY STRONG,95.5,95.7,"2,017","2,018",13.6,EMERGING,42.007703,-87.673168
MOUNT GREENWOOD,Neighborhood,ES,"60,655",,FAR ABOVE AVERAGE,98,98th,97,97th,WELL ORGANIZED,58.2,69.4,63%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",98,98th,98,98th,99,99th,97,97th,96,96th,99,99th,98,98th,97,97th,99,99th,99,99th,99,99th,94,94th,95,95th,96,96th,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,0.4,50,3.0 days,STRONG,STRONG,STRONG,95.9,96.1,"2,017","2,018",1.6,EMERGING,41.695734,-87.70581
LANGFORD,Neighborhood,ES,"60,636",2018,FAR BELOW AVERAGE,9,9th,6,6th,NOT YET ORGANIZED,98.5,80,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",1,1st,4,4th,19,19th,8,8th,12,12th,41,41st,11,11th,1,1st,2,2nd,7,7th,5,5th,10,10th,28,28th,10,10th,WEAK,VERY WEAK,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,1.3,20,3.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.1,94.2,"2,017","2,018",62.6,NOT RATED,41.784681,-87.657169
BARRY,Neighborhood,ES,"60,641",2018,AVERAGE,48,48th,41,41st,ORGANIZED,96.9,66.7,57%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",55,55th,51,51st,34,34th,33,33rd,66,66th,,,,,56,56th,44,44th,41,41st,32,32nd,36,36th,,,,,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,0.1,12.5,1.0 days,STRONG,VERY STRONG,NEUTRAL,94.9,94.5,"2,017","2,018",18,EXEMPLARY,41.932511,-87.739388
PLAMONDON,Neighborhood,ES,"60,608",,ABOVE AVERAGE,72,72nd,50,50th,WELL ORGANIZED,99.9,99.9,73%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",70,70th,20,20th,62,62nd,92,92nd,70,70th,89,89th,78,78th,51,51st,43,43rd,26,26th,58,58th,46,46th,60,60th,62,62nd,STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,0.7,11.1,1.0 days,NEUTRAL,STRONG,WEAK,95.7,95.6,"2,017","2,018",26.4,EMERGING,41.860259,-87.692526
WOODLAWN,Small,ES,"60,637",2018,AVERAGE,67,67th,33,33rd,WELL ORGANIZED,95.5,73.3,56%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",33,33rd,90,90th,54,54th,67,67th,82,82nd,,,,,14,14th,56,56th,15,15th,27,27th,56,56th,,,,,STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,0,0,0.0 days,VERY STRONG,STRONG,VERY STRONG,94.8,93.8,"2,017","2,018",10.2,EMERGING,41.773366,-87.594392
GREAT LAKES,Charter,ES,"60,617",,ABOVE AVERAGE,78,78th,53,53rd,MODERATELY ORGANIZED,0,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",70,70th,86,86th,71,71st,,,,,,,,,65,65th,51,51st,42,42nd,,,,,,,,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,,"2,017","2,018",0,NOT RATED,41.742671,-87.559907
TAFT HS,Neighborhood,HS,"60,631",,MET EXPECTATIONS,99,99th,99,99th,ORGANIZED,85,63.1,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,99,99th,99,99th,,,,,,,,,,,99,99th,99,99th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,0.6,0.8,2.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,89.3,94.8,"2,017","2,018",39.8,ESTABLISHED,41.982961,-87.791547
ACERO - FUENTES,Charter,ES,"60,618",,ABOVE AVERAGE,80,80th,76,76th,MODERATELY ORGANIZED,94.6,97.1,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",64,64th,73,73rd,76,76th,66,66th,82,82nd,93,93rd,87,87th,87,87th,74,74th,67,67th,76,76th,48,48th,91,91st,83,83rd,STRONG,NEUTRAL,STRONG,WEAK,WEAK,NEUTRAL,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.6,,"2,017","2,018",5.1,NOT RATED,41.937476,-87.699594
VANDERPOEL,Magnet,ES,"60,643",,AVERAGE,64,64th,43,43rd,ORGANIZED,99.1,86.4,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",54,54th,61,61st,73,73rd,71,71st,76,76th,45,45th,65,65th,33,33rd,38,38th,48,48th,50,50th,41,41st,30,30th,50,50th,STRONG,STRONG,STRONG,WEAK,WEAK,STRONG,0.4,100,3.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.9,92.6,"2,017","2,018",11.6,EMERGING,41.720817,-87.665559
DUNBAR HS,Career academy,HS,"60,616",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,96.4,72.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,WEAK,9.7,50.5,1.8 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,84.2,94.4,"2,017","2,018",70.3,EMERGING,41.840226,-87.617637
ALBANY PARK,Neighborhood,MS,"60,625",,ABOVE AVERAGE,81,81st,82,82nd,ORGANIZED,96.9,95,71%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,80,80th,78,78th,,,,,,,,,,,78,78th,80,80th,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,1.8,8.5,1.0 days,NEUTRAL,WEAK,STRONG,96.7,94.4,"2,017","2,018",8,EXEMPLARY,41.971504,-87.710609
GOUDY,Neighborhood,ES,"60,640",2018,ABOVE AVERAGE,83,83rd,86,86th,WELL ORGANIZED,91.4,86.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",85,85th,79,79th,83,83rd,78,78th,69,69th,89,89th,90,90th,77,77th,93,93rd,84,84th,84,84th,74,74th,88,88th,91,91st,STRONG,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,1.4,30.3,1.7 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,95.7,"2,017","2,018",13.9,EMERGING,41.975817,-87.657912
ORIOLE PARK,Neighborhood,ES,"60,656",2018,FAR ABOVE AVERAGE,92,92nd,92,92nd,WELL ORGANIZED,65.4,61.1,31%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",74,74th,95,95th,83,83rd,90,90th,97,97th,97,97th,96,96th,63,63rd,95,95th,84,84th,93,93rd,90,90th,96,96th,99,99th,VERY STRONG,NEUTRAL,STRONG,STRONG,STRONG,STRONG,0.1,2.1,1.0 days,STRONG,STRONG,NEUTRAL,95.5,95.1,"2,017","2,018",9.3,ESTABLISHED,41.978501,-87.812054
LEGACY,Charter,ES,"60,623",,AVERAGE,41,41st,41,41st,ORGANIZED,92.2,80.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",32,32nd,42,42nd,32,32nd,43,43rd,33,33rd,41,41st,60,60th,20,20th,43,43rd,28,28th,42,42nd,28,28th,43,43rd,67,67th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,,"2,017","2,018",30.4,NOT RATED,41.856859,-87.730348
MCCORMICK,Neighborhood,ES,"60,623",2018,BELOW AVERAGE,24,24th,29,29th,WELL ORGANIZED,0,83,65%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",8,8th,40,40th,32,32nd,19,19th,,,,,,,12,12th,55,55th,35,35th,17,17th,,,,,,,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,0.9,14.3,1.1 days,NEUTRAL,NEUTRAL,NEUTRAL,94.9,94.3,"2,017","2,018",14.8,EXEMPLARY,41.842267,-87.7063
DORE,Neighborhood,ES,"60,638",2018,ABOVE AVERAGE,74,74th,70,70th,WELL ORGANIZED,96.9,83.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",59,59th,60,60th,68,68th,64,64th,71,71st,91,91st,89,89th,41,41st,46,46th,70,70th,67,67th,62,62nd,84,84th,90,90th,VERY STRONG,WEAK,STRONG,STRONG,STRONG,WEAK,1.1,13.3,1.9 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.3,95.1,"2,017","2,018",18.2,EMERGING,41.77382587,-87.79974193
LOCKE A,Charter,ES,"60,612",,AVERAGE,67,67th,56,56th,NOT ENOUGH DATA,0,0,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",63,63rd,75,75th,63,63rd,38,38th,60,60th,84,84th,74,74th,48,48th,76,76th,49,49th,51,51st,27,27th,74,74th,56,56th,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.2,,"2,017","2,018",46.3,NOT RATED,41.877248,-87.705235
TALCOTT,Neighborhood,ES,"60,622",2018,AVERAGE,66,66th,54,54th,WELL ORGANIZED,92.8,85.4,67%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",67,67th,72,72nd,43,43rd,56,56th,65,65th,91,91st,57,57th,40,40th,82,82nd,70,70th,44,44th,58,58th,54,54th,46,46th,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,0.8,4.3,2.5 days,WEAK,NEUTRAL,NEUTRAL,95.2,95.5,"2,017","2,018",15,ESTABLISHED,41.892405,-87.673723
HAUGAN,Neighborhood,ES,"60,625",2018,AVERAGE,55,55th,45,45th,ORGANIZED,96.6,65.8,66%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",54,54th,67,67th,51,51st,33,33rd,76,76th,,,,,33,33rd,57,57th,36,36th,48,48th,45,45th,,,,,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,2,11,1.3 days,WEAK,STRONG,NEUTRAL,94.9,93.3,"2,017","2,018",18.4,ESTABLISHED,41.964029,-87.723128
NORTHWEST,Neighborhood,MS,"60,639",,AVERAGE,41,41st,33,33rd,ORGANIZED,86,66.7,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,41,41st,28,28th,53,53rd,,,,,,,,,19,19th,35,35th,48,48th,NEUTRAL,WEAK,STRONG,STRONG,STRONG,VERY WEAK,7.4,26.2,1.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.9,94.7,"2,017","2,018",25.6,EMERGING,41.920555,-87.757854
PERSHING,Magnet,ES,"60,616",2018,AVERAGE,56,56th,40,40th,WELL ORGANIZED,76.9,86.4,49%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",63,63rd,60,60th,54,54th,46,46th,55,55th,57,57th,56,56th,62,62nd,40,40th,29,29th,42,42nd,43,43rd,28,28th,31,31st,STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,STRONG,5.2,47.1,2.0 days,NEUTRAL,STRONG,STRONG,95,94.4,"2,017","2,018",27.7,EMERGING,41.836527,-87.618338
WEBSTER,Neighborhood,ES,"60,624",2018,ABOVE AVERAGE,70,70th,54,54th,ORGANIZED,69.2,84.6,58%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",28,28th,47,47th,73,73rd,91,91st,76,76th,66,66th,89,89th,21,21st,37,37th,82,82nd,61,61st,41,41st,28,28th,81,81st,NEUTRAL,VERY STRONG,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,0,0,0.0 days,VERY STRONG,VERY STRONG,VERY STRONG,94.2,95.9,"2,017","2,018",32.6,NOT RATED,41.869916,-87.727524
PEACE AND EDUCATION HS,Citywide-Option,HS,"60,609",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,92,95.5,52%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEAK,STRONG,STRONG,STRONG,VERY STRONG,WEAK,4.9,50,3.0 days,STRONG,VERY STRONG,VERY STRONG,85.5,96,"2,017","2,018",,EMERGING,41.803515,-87.667378
